1.1296 1.3212
1.3264 1.9051
1.3982 2.3108
1.4827 1.9698
1.5347 2.0452
1.6358 2.2885
1.6729 2.5103
1.8115 2.9880
1.9222 2.5068
2.0087 3.0102
2.0232 2.9333
2.1015 2.3525
2.1301 2.8726
2.3341 3.2569
2.4983 3.5199
2.6517 3.8587
2.7081 3.1497
2.7491 3.9033
2.9345 3.9241
3.1018 3.9068
3.1377 4.6122
3.1406 4.6866
3.1766 4.2747
3.1800 4.7780
3.1837 4.3753
3.3389 4.7441
3.4153 4.4638
3.4712 5.4372
3.5000 4.0633
3.5262 4.9563
3.5262 5.2185
3.5679 4.3679
3.6457 5.0927
3.6780 5.1758
3.7483 5.5758
3.8357 5.8406
3.9000 5.3808
3.9837 5.1723
4.0964 6.2489
4.1057 6.2123
4.2020 5.7886
4.5038 6.4862
4.8828 7.0326
4.9267 7.1561
4.9682 7.0941
5.2328 7.8692
5.2699 6.8734
5.4476 6.3721
5.7687 6.1242
5.8228 5.7285
